,EUI,Score
1365,77.1,75
1366,101.2,53
1367,70.3,85
1368,89.2,42
1369,55.0,92
1370,97.8,52
1371,103.5,49
1372,35.8,99
1373,95.1,43
1374,94.5,87
1375,86.0,69
1376,123.3,30
1377,129.5,16
1378,47.5,83
1379,68.8,89
1380,83.6,65
1381,92.3,61
1382,79.5,72
1383,59.7,93
1384,48.0,96
1385,60.6,90
1386,47.4,83
1387,76.4,73
1388,113.3,29
1389,130.9,1
1390,68.5,94
1391,92.4,53
1392,90.5,67
1393,55.8,91
1394,98.0,54
1395,43.6,83
1396,81.9,62
1397,72.4,41
1398,91.8,61
1399,85.8,64
1400,78.0,87
1401,112.4,28
1402,72.7,21
1403,129.1,22
1404,57.0,99
1405,107.1,40
1406,110.2,10
1407,62.7,81
1408,86.7,66
1409,42.6,93
1410,67.4,84
1411,97.7,57
1412,89.2,27
1413,62.0,51
1414,31.5,91
1415,100.6,97
1416,38.4,99
1417,131.7,2
1418,81.7,22
1419,85.5,66
1420,35.7,100
1421,83.4,72
1422,82.6,70
1423,96.8,26
1424,95.6,50
1425,98.5,44
1426,103.4,35
1427,115.4,22
1428,83.3,70
1429,98.1,50
1430,100.8,50
1431,90.6,56
1432,75.2,77
1433,119.7,28
1434,95.1,69
1435,119.2,20
1436,100.5,45
1437,92.9,63
1438,106.3,51
1439,105.6,39
1440,134.6,15
1441,86.7,62
1442,48.0,96
1443,82.9,32
1444,96.5,18
1445,90.0,23
1446,98.4,12
1447,119.5,19
1448,122.5,29
1449,106.2,39
1450,112.0,43
1451,97.7,31
1452,84.3,67
1453,71.4,88
1454,100.9,41
1455,106.1,18
1456,110.9,35
1457,90.6,56
1458,114.6,28
1459,92.3,55
1460,106.4,44
1461,105.6,48
1462,126.3,15
1463,53.8,75
1464,101.8,39
1465,82.5,50
1466,72.5,82
1467,75.6,72
1468,85.1,60
1469,90.3,60
1470,138.0,18
1471,89.9,38
1472,110.7,19
1473,59.1,20
1474,66.8,71
1475,87.8,57
1476,78.1,60
1477,96.2,9
1478,55.5,49
1479,75.6,80
1480,57.4,92
1481,102.8,34
1482,75.1,68
1483,85.6,69
1484,42.4,61
1485,101.3,17
1486,68.3,77
1487,135.1,5
1488,57.5,23
1489,67.0,44
1490,113.8,6
1491,83.1,53
1492,91.8,59
1493,85.5,24
1494,107.9,21
1495,89.5,88
1496,98.4,68
1497,66.5,91
